Citation,Authors,Year,Title,Journal/Book/ Publisher,Volume,Pages,Language,Multiple studies,Country,State/Province,Name of site/area,Research project,Lat.,Long.,Plotted lat.,Plotted long.,Altitude (m),Forest type,Dominant tree species,Stand age (years),Measure of age,Stand origin,Type of comparison,No. of true replicates,Intervention category,Intervention (specification),Outcome categories,Focal species,Focal communities,Focal biodiversity indicators,Remarks,Google Scholar search
Thomas et al. (2001),"S. C. Thomas, D. A. Liguori and C. B. Halpern",2001,Corticolous bryophytes in managed Douglas-fir forests: habitat differentiation and responses to thinning and fertilization,Canadian Journal of Botany,79,886-896,English,,USA,Washington,Griffin Creek; Lucas Creek; Trestle Swamp,,47-48 N,122-123 W,47.5,-122.5,305-335,Coniferous,Pseudotsuga menziesii,8-11 (I),O,Planted,CI,3,THIN,Precommercial thinning. (Study also reports on fertilisation.),"BryoAbunt, BryoRich, VascAbunt, TreeAbunt",,Corticolous bryophytes,,Published site coordinates inaccurate,http://scholar.google.co.uk/scholar?q=Corticolous+bryophytes+in+managed+Douglas-fir+forests:+habitat+differentiation+and+responses+to+thinning+and+fertilization&btnG=&hl=en&as_sdt=0%2C5
Thomas et al. (1999),"S. C. Thomas, C. B. Halpern, D. A. Falk, D. A. Liguori and K. A. Austin",1999,Plant diversity in managed forests: Understory responses to thinning and fertilization,Ecological Applications,9,864-879,English,,USA,Washington,Griffin Creek; Lucas Creek; Trestle Swamp; Bald Hills; Calligan Lake; Greenwater,,47-48 N,122-123 W,47.5,-122.5,244-762,Coniferous,Pseudotsuga menziesii,8-11 (I),O,Planted in late 1960s and 1970s,CI,6,THIN,Precommercial thinning. (Study also reports on fertilisation.),"VascAbuns, VascAbunt, VascRich, VascDiv, TreeAbuns, TreeAbunt, BryoAbunt, DeadAbunt",,Trees and other vascular plants; bryophytes,,,http://scholar.google.co.uk/scholar?q=Plant+diversity+in+managed+forests:+Understory+responses+to+thinning+and+fertilization&btnG=&hl=en&as_sdt=0%2C5
Artman (2003),V. L. Artman,2003,Effects of commercial thinning on breeding bird populations in western hemlock forests,American Midland Naturalist,149,225-232,English,,USA,Washington,Kapowsin Tree Farm,,47.0 N,122.2 W,47,-122.2,,Coniferous,Tsuga heterophylla,45-55,D,Naturally regenerated after clearcutting in the 1930s,CI,2,THIN,Thinning,"TreeAbunt, DeadAbunt, DeadDv, VascAbunt, BryoAbunt, BirdAbuns, BirdAbunt",,Birds,,,http://scholar.google.co.uk/scholar?q=Effects+of+commercial+thinning+on+breeding+bird+populations+in+western+hemlock+forests&btnG=&hl=en&as_sdt=0%2C5
Russell et al. (2009),"R. E. Russell, J. A. Royle, V. A. Saab, J. F. Lehmkuhl, W. M. Block and J. R. Sauer",2009,Modeling the effects of environmental disturbance on wildlife communities: Avian responses to prescribed fire,Ecological Applications,19,1253-1263,English,,USA,Washington,Okanogan-Wenatchee National Forest (Methow Valley),,48.5 N,120 W,48.5,-120,,Coniferous,Pinus ponderosa,,,,BACI,3,BURN,Prescribed burning,"BirdRich, BirdAbuns",,Birds,,,http://scholar.google.co.uk/scholar?q=Modeling+the+effects+of+environmental+disturbance+on+wildlife+communities:+Avian+responses+to+prescribed+fire&btnG=&hl=en&as_sdt=0%2C5
Dodson and Peterson (2010),E. K. Dodson and D. W. Peterson,2010,Dry coniferous forest restoration and understory plant diversity: The importance of community heterogeneity and the scale of observation,Forest Ecology and Management,260,1702-1707,English,,USA,Washington,Okanogan-Wenatchee National Forest (Mission Creek),Fire and Fire Surrogate (FFS) project (Northeastern Cascades study area),47.42 N,120.53 W,47.43,-120.55,,Coniferous,"Pinus ponderosa, Pseudotsuga menziesii",,,,BACI,2 (burning); 4 (thinning),"BURN, THIN",Thinning; prescribed burning,VascRich,,Vascular plants,,,http://scholar.google.co.uk/scholar?q=Dry+coniferous+forest+restoration+and+understory+plant+diversity:+The+importance+of+community+heterogeneity+and+the+scale+of+observation&btnG=&hl=en&as_sdt=0%2C5
Dodson et al. (2008),"E. K. Dodson, D. W. Peterson and R. J. Harrod",2008,"Understory vegetation response to thinning and burning restoration treatments in dry conifer forests of the eastern Cascades, USA",Forest Ecology and Management,255,3130-3140,English,,USA,Washington,Okanogan-Wenatchee National Forest (Mission Creek),Fire and Fire Surrogate (FFS) project (Northeastern Cascades study area),47.42 N,120.53 W,47.43,-120.55,683-1097,Coniferous,"Pinus ponderosa, Pseudotsuga menziesii",,,,BACI,2 (burning); 4 (thinning),"BURN, THIN",Thinning; prescribed burning,"VascAbunt, VascRich, VascComp, InvasAbunt, InvasRich, InvasComp",,"Vascular plants, native and nonnative",,,"http://scholar.google.co.uk/scholar?q=Understory+vegetation+response+to+thinning+and+burning+restoration+treatments+in+dry+conifer+forests+of+the+eastern+Cascades,+USA&btnG=&hl=en&as_sdt=0%2C5"
Gaines et al. (2010),"W. Gaines, M. Haggard, J. Begley, J. Lehmkuhl and A. Lyons",2010,"Short-term effects of thinning and burning restoration treatments on avian community composition, density, and nest survival in the western Cascades dry forests, Washington",Forest Science,56,88-99,English,,USA,Washington,Okanogan-Wenatchee National Forest (Mission Creek),Fire and Fire Surrogate (FFS) project (Northeastern Cascades study area),47.43 N,120.55 W,47.43,-120.55,600-1200,Coniferous,"Pinus ponderosa, Pseudotsuga menziesii",,,,CI,2 (burning); 4 (thinning),"BURN, THIN",Thinning; prescribed burning,"BirdAbuns, BirdPerf",,Birds,,Site coordinates from Hessburg et al. (2008),"http://scholar.google.co.uk/scholar?q=Short-term+effects+of+thinning+and+burning+restoration+treatments+on+avian+community+composition,+density,+and+nest+survival+in+the+western+Cascades+dry+forests,+Washington&btnG=&hl=en&as_sdt=0%2C5"
Harrod et al. (2009),"R. J. Harrod, D. W. Peterson, N. A. Povak and E. K. Dodson",2009,Thinning and prescribed fire effects on overstory tree and snag structure in dry coniferous forests of the interior Pacific Northwest,Forest Ecology and Management,258,712-721,English,,USA,Washington,Okanogan-Wenatchee National Forest (Mission Creek),Fire and Fire Surrogate (FFS) project (Northeastern Cascades study area),47.43 N,120.55 W,47.43,-120.55,683-1097,Coniferous,"Pinus ponderosa, Pseudotsuga menziesii",80-140,D,,BACI,3,"BURN, THIN",Thinning; prescribed burning,"TreeAbunt, TreeMort, DeadAbunt, DeadDv, VertDiam",,Trees,Vertical stand structure; snags,Site coordinates from Hessburg et al. (2008),http://scholar.google.co.uk/scholar?q=Thinning+and+prescribed+fire+effects+on+overstory+tree+and+snag+structure+in+dry+coniferous+forests+of+the+interior+Pacific+Northwest&btnG=&hl=en&as_sdt=0%2C5
Hessburg et al. (2008),"P. F. Hessburg, N. A. Povak and R. B. Salter",2008,"Thinning and prescribed fire effects on dwarf mistletoe severity in an eastern Cascade Range dry forest, Washington",Forest Ecology and Management,255,2907-2915,English,,USA,Washington,Okanogan-Wenatchee National Forest (Mission Creek),Fire and Fire Surrogate (FFS) project (Northeastern Cascades study area),47.43 N,120.55 W,47.43,-120.55,620-1228,Coniferous,"Pinus ponderosa, Pseudotsuga menziesii",,,,BACI,2 (burning); 4 (thinning),"BURN, THIN",Thinning; prescribed burning,"TreeAbunt, TreePerf, Micro, VascAbuns, InvasAbuns",Arceuthobium spp. (dwarf mistletoe),,,,"http://scholar.google.co.uk/scholar?q=Thinning+and+prescribed+fire+effects+on+dwarf+mistletoe+severity+in+an+eastern+Cascade+Range+dry+forest,+Washington&btnG=&hl=en&as_sdt=0%2C5"
Hessburg et al. (2010),"P. F. Hessburg, N. A. Povak and R. B. Salter",2010,"Thinning and prescribed fire effects on snag abundance and spatial pattern in an eastern cascade range dry forest, Washington, USA",Forest Science,56,74-87,English,,USA,Washington,Okanogan-Wenatchee National Forest (Mission Creek),Fire and Fire Surrogate (FFS) project (Northeastern Cascades study area),47.43 N,120.55 W,47.43,-120.55,620-1228,Coniferous,"Pinus ponderosa, Pseudotsuga menziesii",,,,BACI,2 (burning); 4 (thinning),"BURN, THIN",Thinning; prescribed burning,"DeadAbunt, DeadDv, BeetsAbuns",,Bark beetles,Snags,,"http://scholar.google.co.uk/scholar?q=Thinning+and+prescribed+fire+effects+on+snag+abundance+and+spatial+pattern+in+an+eastern+cascade+range+dry+forest,+Washington,+USA&btnG=&hl=en&as_sdt=0%2C5"
Lyons et al. (2008),"A. L. Lyons, W. L. Gaines, J. F. Lehmkuhl and R. J. Harrod",2008,Short-term effects of fire and fire surrogate treatments on foraging tree selection by cavity-nesting birds in dry forests of central Washington,Forest Ecology and Management,255,3203-3211,English,,USA,Washington,Okanogan-Wenatchee National Forest (Mission Creek),Fire and Fire Surrogate (FFS) project (Northeastern Cascades study area),47.43 N,120.55 W,47.43,-120.55,600-1200,Coniferous,"Pinus ponderosa, Pseudotsuga menziesii",,,,BACI (trees); CI (birds),3,"BURN, THIN",Thinning; prescribed burning,"VertDiam, VertHeight, TreeAbuns, TreeAbunt, BirdAbuns",,Cavity-nesting birds,,Site coordinates from Hessburg et al. (2008),http://scholar.google.co.uk/scholar?q=Short-term+effects+of+fire+and+fire+surrogate+treatments+on+foraging+tree+selection+by+cavity-nesting+birds+in+dry+forests+of+central+Washington&btnG=&hl=en&as_sdt=0%2C5
Woodward et al. (1994),"A. Woodward, E. G. Schreiner, D. B. Houston and B. B. Moorhead",1994,Ungulate-forest relationships in Olympic National Park - retrospective exclosure studies,Northwest Science,68,97-110,English,,USA,Washington,Olympic National Park,,47.5-48.0 N,123.5-124.2 W,47.78,-123.93,< 350,Coniferous,"Picea sitchensis, Tsuga heterophylla",,,,CI,Varying,GRAZ,Exclusion of elk (Cervus elaphus) and black-tailed deer,"TreeAbuns, TreeMort, TreePerf, VascAbunt",,Trees and other vascular plants,,,http://scholar.google.co.uk/scholar?q=Ungulate-forest+relationships+in+Olympic+National+Park+-+retrospective+exclosure+studies&btnG=&hl=en&as_sdt=0%2C5
Fonda and Binney (2011),R. W. Fonda and E. P. Binney,2011,"Vegetation response to prescribed fire in Douglas-fir forests, Olympic National Park",Northwest Science,85,30-40,English,,USA,Washington,Olympic National Park (Maiden Creek drainage),,48.0 N,123.3 W,48,-123.3,870-900,Coniferous,Pseudotsuga menziesii,> 300,,,BA,5,BURN,Prescribed burning,"DeadAbunt, DeadDv, TreeAbuns, TreeAbunt, VascAbuns, BryoAbuns",,Trees and other vascular plants; bryophytes,Dead wood,,"http://scholar.google.co.uk/scholar?q=Vegetation+response+to+prescribed+fire+in+Douglas-fir+forests,+Olympic+National+Park&btnG=&hl=en&as_sdt=0%2C5"
Schreiner et al. (1996),"E. G. Schreiner, K. A. Krueger, P. J. Happe and D. B. Houston",1996,"Understory patch dynamics and ungulate herbivory in old-growth forests of Olympic National Park, Washington",Canadian Journal of Forest Research,26,255-265,English,,USA,Washington,Olympic National Park (South Fork Hoh River study area),,47.78 N,123.93 W,47.78,-123.93,215,Coniferous,"Picea sitchensis, Tsuga heterophylla",220-260,,,CI,2,GRAZ,Exclusion of elk (Cervus elaphus) and black-tailed deer,"TreeAbunt, TreeRich, TreeDiv, VascAbunt, VascRich, VascDiv, BryoAbunt",,Saplings and other vascular plants; bryophytes,,,"http://scholar.google.co.uk/scholar?q=Understory+patch+dynamics+and+ungulate+herbivory+in+old-growth+forests+of+Olympic+National+Park,+Washington&btnG=&hl=en&as_sdt=0%2C5"
Bateman and O'Connell (2006),H. L. Bateman and M. A. O'Connell,2006,Effects of prescribed burns on wintering cavity-nesting birds,Northwest Science,80,283-291,English,,USA,Washington,Turnbull National Wildlife Refuge,,47.4 N,117.6 W,47.4,-117.6,,Coniferous,Pinus ponderosa,,,,CI,2,BURN,Prescribed burning,"BirdAbuns, BirdAbunt, DeadAbunt, DeadDv, TreeAbunt, MicroCav, VascAbunt",,Cavity-nesting birds,Dead wood,,http://scholar.google.co.uk/scholar?q=Effects+of+prescribed+burns+on+wintering+cavity-nesting+birds&btnG=&hl=en&as_sdt=0%2C5
Johnson et al. (2009),"J. B. Johnson, J. W. Edwards, W. M. Ford and J. E. Gates",2009,Roost tree selection by northern myotis (Myotis septentrionalis) maternity colonies following prescribed fire in a Central Appalachian Mountains hardwood forest,Forest Ecology and Management,258,233-242,English,,USA,West Virginia,Fernow Experimental Forest,,39.06 N,79.67 W,39.03,-79.67,530-1100,Broadleaf,"Acer saccharum, Acer rubrum, Liriodendron tulipifera, Prunus serotina, Fagus grandifolia, Betula lenta, Tilia americana",,,Second-growth,CI,1,BURN,Prescribed burning,MammAbuns,Myotis septentrionalis (northern myotis),,,,http://scholar.google.co.uk/scholar?q=Roost+tree+selection+by+northern+myotis+Myotis+septentrionalis+maternity+colonies+following+prescribed+fire+in+a+Central+Appalachian+Mountains+hardwood+forest&btnG=&hl=en&as_sdt=0%2C5
Schuler (2004),T. M. Schuler,2004,Fifty years of partial harvesting in a mixed mesophytic forest: composition and productivity,Canadian Journal of Forest Research,34,985-997,English,,USA,West Virginia,Fernow Experimental Forest,,39.03 N,79.67 W,39.03,-79.67,530-1115,Broadleaf,"Acer spp., Quercus spp.",38-45 (I),,Second-growth after logging in 1903-1911,CI,3,PART,"Single-tree selection harvesting, diameter-limit harvesting and gap felling (0.16 ha gaps)","TreeDiv, TreeComp, TreePerf",,Trees,,,http://scholar.google.co.uk/scholar?q=Fifty+years+of+partial+harvesting+in+a+mixed+mesophytic+forest:+composition+and+productivity&btnG=&hl=en&as_sdt=0%2C5
Ford et al. (2010),"W. M. Ford, J. L. Rodrigue, E. L. Rowan, S. B. Castleberry and T. M. Schuler",2010,Woodland salamander response to two prescribed fires in the central Appalachians,Forest Ecology and Management,260,1003-1009,English,,USA,West Virginia,Fernow Experimental Forest (Canoe Run watershed),,39.03 N,79.67 W,39.03,-79.67,615-800,Broadleaf,"Quercus rubra, Quercus prinus, Quercus alba",,,,BACI,2 in each of 2 stand types (burning); 4-6 in each of 2 stand types (grazing),"BURN, GRAZ",Prescribed burning; exclusion of white-tailed deer,AmphAbuns,,Salamanders,,,http://scholar.google.co.uk/scholar?q=Woodland+salamander+response+to+two+prescribed+fires+in+the+central+Appalachians&btnG=&hl=en&as_sdt=0%2C5
Schuler et al. (2010),"T. M. Schuler, M. Thomas Van-Gundy, M. B. Adams and W. M. Ford",2010,Seed bank response to prescribed fire in the central Appalachians,USDA Forest Service,NRS-9,,English,,USA,West Virginia,Fernow Experimental Forest (Canoe Run watershed),,39.03 N,79.67 W,39.03,-79.67,600-770,Broadleaf,"Quercus rubra, Quercus prinus, Quercus alba",,,,BA,1,BURN,Prescribed burning,"TreeAbuns, VascAbuns",,Trees and shrubs (seed bank),,,http://scholar.google.co.uk/scholar?q=Seed+bank+response+to+prescribed+fire+in+the+central+Appalachians&btnG=&hl=en&as_sdt=0%2C5
Royo et al. (2010a),"A. A. Royo, R. Collins, M. B. Adams, C. Kirschbaum and W. P. Carson",2010,Pervasive interactions between ungulate browsers and disturbance regimes promote temperate forest herbaceous diversity,Ecology,91,93-105,English,,USA,West Virginia,Fernow Experimental Forest; Monongahela National Forest,,39.02-39.10 N,79.70-79.72 W,39.03,-79.67,670-810,Broadleaf,"Quercus rubra, Quercus alba, Quercus montana",60-90,,Second-growth,CI,4,"BURN, CREA, GRAZ",Prescribed burning; exclusion of white-tailed deer; girdling of trees (resulting in 0.028 ha canopy gaps),"VascAbunt, VascRich",,Vascular plants,,,http://scholar.google.co.uk/scholar?q=Pervasive+interactions+between+ungulate+browsers+and+disturbance+regimes+promote+temperate+forest+herbaceous+diversity&btnG=&hl=en&as_sdt=0%2C5
Thomas-Van Gundy et al. (2014),"M. Thomas-Van Gundy, J. Rentch, M. B. Adams and W. Carson",2014,Reversing legacy effects in the understory of an oak-dominated forest,Canadian Journal of Forest Research,44,350-364,English,,USA,West Virginia,Fernow Experimental Forest; Monongahela National Forest,,39.02-39.10 N,79.70-79.72 W,39.03,-79.67,670-790,Broadleaf,"Acer spp., Quercus spp.",60-90,,Second-growth,BACI,4,"BURN, CREA, GRAZ",Prescribed burning; exclusion of white-tailed deer; girdling of trees (resulting in 0.025 ha canopy gaps; herbicide also used),TreeAbuns,,Tree seedlings and saplings,,Site coordinates from Royo et al. (2010a),http://scholar.google.co.uk/scholar?q=Reversing+legacy+effects+in+the+understory+of+an+oak-dominated+forest&btnG=&hl=en&as_sdt=0%2C5
Wendel and Smith (1986),G. W. Wendel and H. C. Smith,1986,Effects of prescribed fire in a central Appalachian oak-hickory stand,USDA Forest Service,NE-RP-594,,English,,USA,West Virginia,George Washington National Forest (Road Run drainage),,38.6 N,79.3 W,38.6,-79.3,,Broadleaf,"Acer rubrum, Quercus prinus, Quercus rubra, Carya spp., Robinia pseudoacacia",,,,BACI,1,BURN,Prescribed burning,"TreeAbuns, TreeAbunt, TreePerf",,Trees,,,http://scholar.google.co.uk/scholar?q=Effects+of+prescribed+fire+in+a+central+Appalachian+oak-hickory+stand&btnG=&hl=en&as_sdt=0%2C5
Nuttle et al. (2013),"T. I. M. Nuttle, A. A. Royo, M. B. Adams and W. P. Carson",2013,Historic disturbance regimes promote tree diversity only under low browsing regimes in eastern deciduous forest,Ecological Monographs,83,3-17,English,,USA,West Virginia,Mead-Westvaco Research Forest,,38.70 N,80.05 W,38.7,-80.05,,Broadleaf,,64-77 (I),,,CI,4,"BURN, CREA, GRAZ",Prescribed burning; exclusion of white-tailed deer; girdling of trees (resulting in > 0.025 ha canopy gaps; herbicide also used),"TreeAbuns, TreeAbunt, TreeRich, TreeDiv",,Trees,,Site coordinates from Weakland et al. (2002),http://scholar.google.co.uk/scholar?q=Historic+disturbance+regimes+promote+tree+diversity+only+under+low+browsing+regimes+in+eastern+deciduous+forest&btnG=&hl=en&as_sdt=0%2C5
Dellinger et al. (2007),"R. L. Dellinger, P. B. Wood and P. D. Keyser",2007,Occurrence and nest survival of four thrush species on a managed central Appalachian forest,Forest Ecology and Management,243,248-258,English,,USA,West Virginia,Mead-Westvaco Research Forest (Panther Run Tract),,38.70 N,80.05 W,38.7,-80.05,700-1200,Mixed; broadleaf,"Quercus rubra, Fraxinus americana, Tilia americana, Fagus grandifolia, Betula spp., Acer spp., Picea rubens, Tsuga canadensis",,,,CI,Not clear,PART,"Single-tree selection harvesting, 70-80% retention","BirdAbuns, BirdPerf","Hylocichla mustelina (wood thrush), Turdus migratorius (American robin), Catharus guttatus (hermit thrush), Catharus fuscescens (veery)",,,,http://scholar.google.co.uk/scholar?q=Occurrence+and+nest+survival+of+four+thrush+species+on+a+managed+central+Appalachian+forest&btnG=&hl=en&as_sdt=0%2C5
